NCT Number,Major Condition,Major Interventions,Sponsor,Phases,State,Zip Code
NCT02642965,Blood Cancer,Drug,Children's Oncology Group,PHASE2,Quebec,G1V 4G2
NCT02642965,Blood Cancer,Others,Children's Oncology Group,PHASE2,Quebec,G1V 4G2
NCT02642965,Blood Cancer,Biological,Children's Oncology Group,PHASE2,Quebec,G1V 4G2
NCT02961374,Other,Drug,National Cancer Institute (NCI),PHASE2,San Juan,00936
NCT02996474,Blood Cancer,Drug,"National Heart, Lung, and Blood Institute (NHLBI)",PHASE1,Maryland,20892
NCT02996474,Blood Cancer,Drug,"National Heart, Lung, and Blood Institute (NHLBI)",PHASE2,Maryland,20892
NCT04247282,Other,Drug,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT04247282,Other,Biological,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT04247282,Other,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT04247282,Other,Biological,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02581982,Other,Drug,Wake Forest University Health Sciences,PHASE2,North Carolina,27157
NCT02581982,Other,Others,Wake Forest University Health Sciences,PHASE2,North Carolina,27157
NCT02581982,Other,Biological,Wake Forest University Health Sciences,PHASE2,North Carolina,27157
NCT03387020,Brain Cancer,Drug,Pediatric Brain Tumor Consortium,PHASE1,Texas,77030
NCT03387020,Brain Cancer,Others,Pediatric Brain Tumor Consortium,PHASE1,Texas,77030
NCT02661282,Brain Cancer,Drug,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT02661282,Brain Cancer,Others,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT02661282,Brain Cancer,Procedure,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT02661282,Brain Cancer,Biological,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT02661282,Brain Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02661282,Brain Cancer,Others,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02661282,Brain Cancer,Procedure,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02661282,Brain Cancer,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03096782,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03096782,Blood Cancer,Radiation,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03096782,Blood Cancer,Procedure,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03096782,Blood Cancer,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02541565,Blood Cancer,Drug,University of Washington,PHASE1,Washington,98109
NCT02541565,Blood Cancer,Others,University of Washington,PHASE1,Washington,98109
NCT02541565,Blood Cancer,Biological,University of Washington,PHASE1,Washington,98109
NCT02888665,Other,Drug,Fred Hutchinson Cancer Center,PHASE1,Washington,98109
NCT02888665,Other,Others,Fred Hutchinson Cancer Center,PHASE1,Washington,98109
NCT02888665,Other,Biological,Fred Hutchinson Cancer Center,PHASE1,Washington,98109
NCT02888665,Other,Drug,Fred Hutchinson Cancer Center,PHASE2,Washington,98109
NCT02888665,Other,Others,Fred Hutchinson Cancer Center,PHASE2,Washington,98109
NCT02888665,Other,Biological,Fred Hutchinson Cancer Center,PHASE2,Washington,98109
NCT03190265,Other,Drug,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,PHASE2,Maryland,21231
NCT03190265,Other,Biological,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,PHASE2,Maryland,21231
NCT02135874,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02135874,Blood Cancer,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02315430,Lung Cancer,Drug,National Cancer Institute (NCI),PHASE2,Wyoming,82801
NCT02315430,Lung Cancer,Others,National Cancer Institute (NCI),PHASE2,Wyoming,82801
NCT02636322,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02636322,Blood Cancer,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02519322,Other,Procedure,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02519322,Other,Others,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02519322,Other,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03638622,Other,Procedure,Massachusetts General Hospital,PHASE1,UP,202002
NCT03638622,Other,Procedure,Massachusetts General Hospital,PHASE2,UP,202002
NCT03201458,Other,Drug,National Cancer Institute (NCI),PHASE2,Virginia,23298
NCT03201458,Other,Procedure,National Cancer Institute (NCI),PHASE2,Virginia,23298
NCT03323658,Other,Drug,National Cancer Institute (NCI),PHASE1,Texas,77030
NCT03323658,Other,Others,National Cancer Institute (NCI),PHASE1,Texas,77030
NCT03406858,Lung Cancer,Others,Barbara Ann Karmanos Cancer Institute,PHASE2,Michigan,48201
NCT03406858,Lung Cancer,Biological,Barbara Ann Karmanos Cancer Institute,PHASE2,Michigan,48201
NCT02728258,Lung Cancer,Drug,NRG Oncology,PHASE2,Wisconsin,54482
NCT02728258,Lung Cancer,Others,NRG Oncology,PHASE2,Wisconsin,54482
NCT03402230,Other,Drug,National Cancer Institute (NCI),EARLY_PHASE1,Arizona,85719
NCT03402230,Other,Others,National Cancer Institute (NCI),EARLY_PHASE1,Arizona,85719
NCT02448225,Lung Cancer,Procedure,Vanderbilt-Ingram Cancer Center,PHASE2,Tennessee,37232
NCT02448225,Lung Cancer,Radiation,Vanderbilt-Ingram Cancer Center,PHASE2,Tennessee,37232
NCT02448225,Lung Cancer,Others,Vanderbilt-Ingram Cancer Center,PHASE2,Tennessee,37232
NCT02448225,Lung Cancer,Drug,Vanderbilt-Ingram Cancer Center,PHASE2,Tennessee,37232
NCT02259725,Other,Drug,University of Southern California,PHASE2,Washington,98109
NCT02259725,Other,Others,University of Southern California,PHASE2,Washington,98109
NCT03222076,liver Cancer,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02273362,liver Cancer,Drug,National Cancer Institute (NCI),PHASE1,Ohio,44195
NCT02273362,liver Cancer,Others,National Cancer Institute (NCI),PHASE1,Ohio,44195
NCT02273362,liver Cancer,Drug,National Cancer Institute (NCI),PHASE2,Ohio,44195
NCT02273362,liver Cancer,Others,National Cancer Institute (NCI),PHASE2,Ohio,44195
NCT03454529,Other,Drug,Michael Simon,PHASE2,Michigan,48201
NCT03454529,Other,Others,Michael Simon,PHASE2,Michigan,48201
NCT02194829,Lung Cancer,Drug,National Cancer Institute (NCI),PHASE1,Tennessee,37232
NCT02194829,Lung Cancer,Drug,National Cancer Institute (NCI),PHASE2,Tennessee,37232
NCT03072160,Other,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT03373760,Lung Cancer,Others,SWOG Cancer Research Network,PHASE2,Wyoming,82801
NCT03373760,Lung Cancer,Biological,SWOG Cancer Research Network,PHASE2,Wyoming,82801
NCT02830594,Lung Cancer,Procedure,City of Hope Medical Center,PHASE2,California,91010
NCT02830594,Lung Cancer,Radiation,City of Hope Medical Center,PHASE2,California,91010
NCT02830594,Lung Cancer,Others,City of Hope Medical Center,PHASE2,California,91010
NCT02830594,Lung Cancer,Biological,City of Hope Medical Center,PHASE2,California,91010
NCT03206073,Lung Cancer,Drug,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT03206073,Lung Cancer,Biological,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT03206073,Lung Cancer,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT03206073,Lung Cancer,Biological,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02561273,Blood Cancer,Procedure,University of Nebraska,PHASE1,New York,10065
NCT02561273,Blood Cancer,Others,University of Nebraska,PHASE1,New York,10065
NCT02561273,Blood Cancer,Drug,University of Nebraska,PHASE1,New York,10065
NCT02561273,Blood Cancer,Procedure,University of Nebraska,PHASE2,New York,10065
NCT02561273,Blood Cancer,Others,University of Nebraska,PHASE2,New York,10065
NCT02561273,Blood Cancer,Drug,University of Nebraska,PHASE2,New York,10065
NCT02822573,Other,Drug,Wake Forest University Health Sciences,PHASE3,Wisconsin,54494
NCT04607291,Other,Uncategorized,Roswell Park Cancer Institute,PHASE1,New York,14263
NCT03180294,Pancreatic Cancer,Drug,NRG Oncology,PHASE2,Wyoming,82001
NCT02420691,Lung Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02420691,Lung Cancer,Others,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03534180,Blood Cancer,Drug,City of Hope Medical Center,PHASE2,Nebraska,68198
NCT03534180,Blood Cancer,Others,City of Hope Medical Center,PHASE2,Nebraska,68198
NCT02365480,Other,Drug,National Cancer Institute (NCI),PHASE1,Shaanxi,710032
NCT02365480,Other,Others,National Cancer Institute (NCI),PHASE1,Shaanxi,710032
NCT02717455,Brain Cancer,Drug,Pediatric Brain Tumor Consortium,PHASE1,Texas,77030
NCT02933255,Prostate Cancer,Drug,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT02933255,Prostate Cancer,Procedure,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT02933255,Prostate Cancer,Biological,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT02933255,Prostate Cancer,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02933255,Prostate Cancer,Procedure,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02933255,Prostate Cancer,Biological,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT03306992,Lung Cancer,Uncategorized,University of Utah,PHASE3,Utah,84112
NCT02120469,breast Cancer,Drug,City of Hope Medical Center,PHASE1,California,91030
NCT02120469,breast Cancer,Others,City of Hope Medical Center,PHASE1,California,91030
NCT03008369,Other,Drug,Mayo Clinic,PHASE2,Minnesota,55905
NCT03008369,Other,Others,Mayo Clinic,PHASE2,Minnesota,55905
NCT02921269,Lung Cancer,Drug,National Cancer Institute (NCI),PHASE2,Wisconsin,53792
NCT02921269,Lung Cancer,Others,National Cancer Institute (NCI),PHASE2,Wisconsin,53792
NCT02921269,Lung Cancer,Biological,National Cancer Institute (NCI),PHASE2,Wisconsin,53792
NCT02538510,Other,Drug,University of Washington,PHASE1,Washington,98109
NCT02538510,Other,Others,University of Washington,PHASE1,Washington,98109
NCT02538510,Other,Biological,University of Washington,PHASE1,Washington,98109
NCT02538510,Other,Drug,University of Washington,PHASE2,Washington,98109
NCT02538510,Other,Others,University of Washington,PHASE2,Washington,98109
NCT02538510,Other,Biological,University of Washington,PHASE2,Washington,98109
NCT04317781,Other,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT04631029,Lung Cancer,Drug,National Cancer Institute (NCI),PHASE1,Wisconsin,53792
NCT04631029,Lung Cancer,Biological,National Cancer Institute (NCI),PHASE1,Wisconsin,53792
NCT02368886,Lung Cancer,Drug,Academic and Community Cancer Research United,PHASE2,Wisconsin,54449
NCT02368886,Lung Cancer,Others,Academic and Community Cancer Research United,PHASE2,Wisconsin,54449
NCT02759835,Lung Cancer,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02759835,Lung Cancer,Procedure,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02304458,Brain Cancer,Others,National Cancer Institute (NCI),PHASE1,Ontario,M5G 1X8
NCT02304458,Brain Cancer,Biological,National Cancer Institute (NCI),PHASE1,Ontario,M5G 1X8
NCT02304458,Brain Cancer,Others,National Cancer Institute (NCI),PHASE2,Ontario,M5G 1X8
NCT02304458,Brain Cancer,Biological,National Cancer Institute (NCI),PHASE2,Ontario,M5G 1X8
NCT02292758,Lung Cancer,Drug,Academic and Community Cancer Research United,PHASE2,Wisconsin,54301
NCT02292758,Lung Cancer,Others,Academic and Community Cancer Research United,PHASE2,Wisconsin,54301
NCT02292758,Lung Cancer,Biological,Academic and Community Cancer Research United,PHASE2,Wisconsin,54301
NCT03267186,Blood Cancer,Drug,Andrew Rezvani,PHASE2,California,94304
NCT03267186,Blood Cancer,Others,Andrew Rezvani,PHASE2,California,94304
NCT03502330,Lung Cancer,Drug,Yale University,PHASE1,Connecticut,06510
NCT03320330,Other,Others,Children's Oncology Group,PHASE1,Washington,98105
NCT03320330,Other,Biological,Children's Oncology Group,PHASE1,Washington,98105
NCT03320330,Other,Others,Children's Oncology Group,PHASE2,Washington,98105
NCT03320330,Other,Biological,Children's Oncology Group,PHASE2,Washington,98105
NCT03502148,Other,Drug,Privo Technologies,PHASE1,Texas,77054
NCT03502148,Other,Drug,Privo Technologies,PHASE2,Texas,77054
NCT02893930,Other,Drug,National Cancer Institute (NCI),PHASE2,Wyoming,82801
NCT03390296,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT03390296,Blood Cancer,Biological,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT03390296,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03390296,Blood Cancer,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02967458,Prostate Cancer,Drug,Thomas Jefferson University,PHASE2,Pennsylvania,19107
NCT03477396,breast Cancer,Drug,City of Hope Medical Center,PHASE2,New York,14642
NCT03477396,breast Cancer,Others,City of Hope Medical Center,PHASE2,New York,14642
NCT03403634,liver Cancer,Drug,Roswell Park Cancer Institute,PHASE2,New York,14263
NCT03403634,liver Cancer,Others,Roswell Park Cancer Institute,PHASE2,New York,14263
NCT03403634,liver Cancer,Biological,Roswell Park Cancer Institute,PHASE2,New York,14263
NCT02097134,Other,Drug,Children's Oncology Group,PHASE1,Texas,77030
NCT03211117,Other,Radiation,Mayo Clinic,PHASE2,Minnesota,55905
NCT03211117,Other,Procedure,Mayo Clinic,PHASE2,Minnesota,55905
NCT03211117,Other,Others,Mayo Clinic,PHASE2,Minnesota,55905
NCT03211117,Other,Drug,Mayo Clinic,PHASE2,Minnesota,55905
NCT03211117,Other,Biological,Mayo Clinic,PHASE2,Minnesota,55905
NCT03072134,Brain Cancer,Biological,Northwestern University,PHASE1,Illinois,60611
NCT04052334,Other,Drug,H. Lee Moffitt Cancer Center and Research Institute,PHASE1,Florida,33612
NCT03040986,Other,Drug,National Cancer Institute (NCI),PHASE2,Pennsylvania,15232
NCT03040986,Other,Others,National Cancer Institute (NCI),PHASE2,Pennsylvania,15232
NCT03617913,kidney Cancer,Drug,Mayo Clinic,PHASE2,Minnesota,55905
NCT03617913,kidney Cancer,Radiation,Mayo Clinic,PHASE2,Minnesota,55905
NCT03617913,kidney Cancer,Others,Mayo Clinic,PHASE2,Minnesota,55905
NCT03617913,kidney Cancer,Procedure,Mayo Clinic,PHASE2,Minnesota,55905
NCT03041636,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03253913,Other,Drug,University of Cincinnati,PHASE2,Ohio,45267
NCT02798536,Other,Drug,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT03959241,Blood Cancer,Procedure,Medical College of Wisconsin,PHASE3,Wisconsin,53211
NCT03959241,Blood Cancer,Drug,Medical College of Wisconsin,PHASE3,Wisconsin,53211
NCT04496219,Other,Procedure,Fred Hutchinson Cancer Center,PHASE2,Washington,98109
NCT04496219,Other,Others,Fred Hutchinson Cancer Center,PHASE2,Washington,98109
NCT04496219,Other,Biological,Fred Hutchinson Cancer Center,PHASE2,Washington,98109
NCT02471339,Other,Procedure,National Cancer Institute (NCI),PHASE3,Maryland,20892
NCT02520141,liver Cancer,Others,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02520141,liver Cancer,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02810418,Other,Drug,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT02810418,Other,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT04753216,Other,Drug,Northwestern University,PHASE2,Illinois,60611
NCT04753216,Other,Biological,Northwestern University,PHASE2,Illinois,60611
NCT02585713,kidney Cancer,Drug,Academic and Community Cancer Research United,PHASE3,South Dakota,57701
NCT02585713,kidney Cancer,Others,Academic and Community Cancer Research United,PHASE3,South Dakota,57701
NCT03043313,Lung Cancer,Drug,Seagen Inc.,PHASE2,Other,46010
NCT04033419,Other,Drug,UNC Lineberger Comprehensive Cancer Center,PHASE2,North Carolina,27514
NCT03063619,Other,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03063619,Other,Others,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03020017,Brain Cancer,Drug,Northwestern University,EARLY_PHASE1,Illinois,60611
NCT03020017,Brain Cancer,Others,Northwestern University,EARLY_PHASE1,Illinois,60611
NCT03020017,Brain Cancer,Procedure,Northwestern University,EARLY_PHASE1,Illinois,60611
NCT03049449,Blood Cancer,Drug,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT03049449,Blood Cancer,Biological,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT03018249,Lung Cancer,Drug,National Cancer Institute (NCI),EARLY_PHASE1,Wyoming,82801
NCT03018249,Lung Cancer,Others,National Cancer Institute (NCI),EARLY_PHASE1,Wyoming,82801
NCT03018249,Lung Cancer,Procedure,National Cancer Institute (NCI),EARLY_PHASE1,Wyoming,82801
NCT03481816,Prostate Cancer,Biological,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT03019640,Blood Cancer,Procedure,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03019640,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03019640,Blood Cancer,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02321540,Lung Cancer,Drug,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT02321540,Lung Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03531840,Other,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT02780804,Brain Cancer,Drug,National Cancer Institute (NCI),PHASE1,Washington,98105
NCT02780804,Brain Cancer,Others,National Cancer Institute (NCI),PHASE1,Washington,98105
NCT03456804,Lung Cancer,Drug,Barbara Ann Karmanos Cancer Institute,PHASE2,Washington,98109
NCT02487979,Other,Drug,National Cancer Institute (NCI),PHASE2,San Juan,00926
NCT02487979,Other,Others,National Cancer Institute (NCI),PHASE2,San Juan,00926
NCT03253679,Other,Drug,National Cancer Institute (NCI),PHASE2,Texas,77030
NCT02357810,Other,Drug,Northwestern University,PHASE2,Missouri,63110
NCT02357810,Other,Others,Northwestern University,PHASE2,Missouri,63110
NCT02631746,Blood Cancer,Others,National Cancer Institute (NCI),PHASE2,Ohio,43210
NCT02631746,Blood Cancer,Biological,National Cancer Institute (NCI),PHASE2,Ohio,43210
NCT03785210,liver Cancer,Drug,National Cancer Institute (NCI),PHASE2,Maryland,20892
NCT03565367,Other,Drug,Daniel M. Spielman,PHASE1,California,94304
NCT03565367,Other,Procedure,Daniel M. Spielman,PHASE1,California,94304
NCT03132467,breast Cancer,Biological,M.D. Anderson Cancer Center,EARLY_PHASE1,Texas,77030
NCT04439240,Blood Cancer,Drug,National Cancer Institute (NCI),PHASE2,Pennsylvania,19103
NCT02320292,Blood Cancer,Radiation,Mayo Clinic,PHASE3,Minnesota,55905
NCT02320292,Blood Cancer,Others,Mayo Clinic,PHASE3,Minnesota,55905
NCT02320292,Blood Cancer,Biological,Mayo Clinic,PHASE3,Minnesota,55905
NCT04081389,breast Cancer,Drug,Roswell Park Cancer Institute,PHASE1,New York,14263
NCT04081389,breast Cancer,Biological,Roswell Park Cancer Institute,PHASE1,New York,14263
NCT02332980,Blood Cancer,Drug,Mayo Clinic,PHASE2,Minnesota,55905
NCT02332980,Blood Cancer,Others,Mayo Clinic,PHASE2,Minnesota,55905
NCT02332980,Blood Cancer,Biological,Mayo Clinic,PHASE2,Minnesota,55905
NCT03321929,Other,Procedure,"Lumicell, Inc.",PHASE2,Washington,98405
NCT03384316,Lung Cancer,Biological,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT02562716,Lung Cancer,Drug,SWOG Cancer Research Network,PHASE2,Wyoming,82801
NCT02562716,Lung Cancer,Procedure,SWOG Cancer Research Network,PHASE2,Wyoming,82801
NCT03905135,Blood Cancer,Drug,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT03905135,Blood Cancer,Biological,National Cancer Institute (NCI),PHASE1,Maryland,20892
NCT03216499,Brain Cancer,Drug,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,PHASE2,Pennsylvania,15232
NCT03216499,Brain Cancer,Others,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,PHASE2,Pennsylvania,15232
NCT02015819,Brain Cancer,Drug,City of Hope Medical Center,PHASE1,California,91010
NCT02015819,Brain Cancer,Others,City of Hope Medical Center,PHASE1,California,91010
NCT02015819,Brain Cancer,Biological,City of Hope Medical Center,PHASE1,California,91010
NCT02225366,Other,Biological,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT02225366,Other,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02901899,Other,Drug,Northwestern University,PHASE2,Illinois,60045
NCT02901899,Other,Others,Northwestern University,PHASE2,Illinois,60045
NCT02901899,Other,Biological,Northwestern University,PHASE2,Illinois,60045
NCT03918499,Lung Cancer,Drug,City of Hope Medical Center,PHASE1,Texas,75246
NCT03918499,Lung Cancer,Biological,City of Hope Medical Center,PHASE1,Texas,75246
NCT03918499,Lung Cancer,Drug,City of Hope Medical Center,PHASE2,Texas,75246
NCT03918499,Lung Cancer,Biological,City of Hope Medical Center,PHASE2,Texas,75246
NCT03338972,Blood Cancer,Drug,Fred Hutchinson Cancer Center,PHASE1,Washington,98109
NCT03338972,Blood Cancer,Procedure,Fred Hutchinson Cancer Center,PHASE1,Washington,98109
NCT03338972,Blood Cancer,Biological,Fred Hutchinson Cancer Center,PHASE1,Washington,98109
NCT04532372,Other,Drug,City of Hope Medical Center,PHASE1,California,91010
NCT04532372,Other,Drug,City of Hope Medical Center,PHASE2,California,91010
NCT03449901,Other,Drug,Washington University School of Medicine,PHASE2,New York,10032
NCT03449901,Other,Procedure,Washington University School of Medicine,PHASE2,New York,10032
NCT03012672,Blood Cancer,Drug,University of Washington,PHASE2,Washington,98109
NCT03012672,Blood Cancer,Others,University of Washington,PHASE2,Washington,98109
NCT03012672,Blood Cancer,Biological,University of Washington,PHASE2,Washington,98109
NCT03023046,Blood Cancer,Drug,University of Washington,PHASE2,Washington,98109
NCT03023046,Blood Cancer,Others,University of Washington,PHASE2,Washington,98109
NCT03023046,Blood Cancer,Biological,University of Washington,PHASE2,Washington,98109
NCT03273712,Brain Cancer,Radiation,University of Iowa,PHASE2,Iowa,52242
NCT03273712,Brain Cancer,Drug,University of Iowa,PHASE2,Iowa,52242
NCT03941769,Blood Cancer,Biological,M.D. Anderson Cancer Center,PHASE1,Texas,77030
NCT03941769,Blood Cancer,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03516812,Lung Cancer,Drug,University of Washington,PHASE2,Washington,98109
NCT03516812,Lung Cancer,Others,University of Washington,PHASE2,Washington,98109
NCT03204812,Lung Cancer,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03276572,Prostate Cancer,Drug,Weill Medical College of Cornell University,PHASE1,New York,10065
NCT02420912,Blood Cancer,Drug,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02420912,Blood Cancer,Others,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT02420912,Blood Cancer,Biological,M.D. Anderson Cancer Center,PHASE2,Texas,77030
NCT03733210,Other,Drug,Andrei Iagaru,PHASE1,California,94304
NCT03733210,Other,Procedure,Andrei Iagaru,PHASE1,California,94304
NCT02730546,Lung Cancer,Radiation,Mayo Clinic,PHASE1,Minnesota,55905
NCT02730546,Lung Cancer,Procedure,Mayo Clinic,PHASE1,Minnesota,55905
NCT02730546,Lung Cancer,Others,Mayo Clinic,PHASE1,Minnesota,55905
NCT02730546,Lung Cancer,Drug,Mayo Clinic,PHASE1,Minnesota,55905
NCT02730546,Lung Cancer,Biological,Mayo Clinic,PHASE1,Minnesota,55905
NCT02730546,Lung Cancer,Radiation,Mayo Clinic,PHASE2,Minnesota,55905
